"Loan","Monthly Payments","Interest","Total Payable","APR","Simple Rate"
"500.00 ","45.92","51.00","551.00","19.90%","10.20%"
"1,000.00 ","91.83","101.99","1,101.99","19.90%","10.20%"
"1,500.00 "," 137.75","152.99","1,652.99","19.90%","10.20%"
"2,000.00 "," 183.67","203.98","2,203.98","19.90%","10.20%"
"500.00 "," 46.91","62.94","562.94","24.90%","12.59%"
"1,000.00 "," 93.82","125.87","1,125.87","24.90%","12.59%"
"1,500.00 "," 140.73","188.81","1,688.81","24.90%","12.59%"
"2,000.00 "," 187.65","251.75","2,251.75","24.90%","12.59%"
"500.00 "," 47.88","74.58","574.58","29.90%","14.92%"
"1,000.00 "," 95.76","149.16","1,149.16","29.90%","14.92%"
"1,500.00 "," 143.64","223.73","1,723.73","29.90%","14.92%"
"2,000.00 "," 191.53","298.31","2,298.31","29.90%","14.92%"
"500.00 "," 48.83","85.94","585.94","34.90%","17.19%"
"1,000.00 "," 97.66","171.87","1,171.87","34.90%","17.19%"
"1,500.00 "," 146.48","257.81","1,757.81","34.90%","17.19%"
"2,000.00 "," 195.31","343.75","2,343.75","34.90%","17.19%"
"500.00 "," 49.75","97.03","597.03","39.90%","19.41%"
"1,000.00 "," 99.50","194.06","1,194.06","39.90%","19.41%"
"1,500.00 "," 149.26","291.08","1,791.08","39.90%","19.41%"
"2,000.00 "," 199.01","388.11","2,388.11","39.90%","19.41%"
